codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
06-04-0002;J403680000;COM-16-05-02-00006;barinas;barinas;san silvestre;los guerreros de hato viejo;siembra de 200 has de maiz amarillo; en la comuna los guerreros de hato viejo de la parroquia san silvestre. edo barinas.;cereales;28/03/2016;2016-05-11;16000000;200;700000;120;124028;;;;
06-06-01-001-0038;J299211834;CCO-16-05-11-00012;barinas;cruz paredes;barrancas;las adjuntas;mecanizacion de 650 hectareas para la siembra de cereales;cereales;09/03/2016;2016-06-22;13650000;650;2275000;38;0;;;;;
06-07-0002;J403890412;COM-16-05-04-00007;barinas;ezequiel zamora;pedro briceño méndez;comuna socialista quiú las parcelas;plan de siembra de la comuna socialista quiu las parcelas parroquia pedro briceño mendez municipio ezequiel zamora edo barinas;cereales;08/03/2016;2016-05-18;25000000;175;612500;19;0;;;;;
06-07-0007;J404575332;COM-16-05-04-00008;barinas;ezequiel zamora;santa bárbara;comuna socialista agroturistica los guerreros del caparo;siembra y cultivo en primera etapa de 1000 hectáreas de maíz amarillo.;cereales;08/03/2016;2016-04-22;55000000;1000;3500000;9;0;;;;;
06-07-01-129-0000;J309567314;CCO-16-05-04-00024;barinas;ezequiel zamora;santa bárbara;parcelas de garza;siembra y cultivo de 52 has yuca en la comunidad parcelas de garza; parroquia santa bárbara; municipio ezequiel zamora; barinas;raíces; tubérculos y cucurbitáceas;14/05/2016;2016-12-07;33062242;67;52;182000;0;0
06-09-0008;C404683984;COM-16-05-06-00008;barinas;pedraza;ciudad bolivia;comuna socialista la union;siembra y cultivo de 1.136 hras. de cereales en la comuna socialista la union; municipio pedraza estado barinas;cereales;05/05/2016;2016-05-25;185488000;1136;3976000;202;159920;;;;
06-09-02-001-0015;J299937495;CCO-16-05-06-00046;barinas;pedraza;ignacio briceño;caparo (no indica);siembra de 400 hras de cereales en arroz y maiz en el sector maporal pquia. ignacio briceño municipio pedraza;cereales;07/03/2016;2016-05-18;45000000;400;1400000;14;0;;;;;
06-09-03-001-0010;J299618853;CCO-16-05-06-00049;barinas;pedraza;josé félix ribas;el mesero i (sin nombre comercial);siembra de 100 ha arroz y 100 ha de maíz amarillo.;cereales;18/03/2016;2016-05-18;50000000;200;700000;57;28540;;;;;
06-10-01-015-0002;J299666998;CCO-16-05-07-00024;barinas;rojas;libertad;antonio jose de sucre (sin nombre comercial);siembra de 84 hectareas de maiz blanco en el c.c antonio jose de sucre parroquia libertad; municipio rojas; estado barinas.;cereales;13/05/2016;2016-06-22;11340000;84;294000;67;124900;;;
06-11-01-006-0000;J299532150;CCO-16-05-08-00020;barinas;sosa;ciudad de nutrias;el campechno (no indica);siembra y cultivo de maíz en el sector campechano en la parroquia ciudad de nutrias; municipio sosa; estado barinas;cereales;30/03/2016;2016-06-22;45000000;200;700000;56;42640;;;
06-11-04-001-0008;C299608998;CCO-16-05-08-00025;barinas;sosa;santa catalina;espinito sabanero (sin nombre comercial);siembra y cultivo de 200 ha de cereales; 100 ha de maíz amarillo; y 100 ha de arroz paddy.;cereales;11/04/2016;2016-05-18;35000000;200;700000;0;0;;;
07-02-03-017-0000;J299960543;CCO-16-06-02-00038;bolívar;cedeño;ascensión farreras;las flores de agua nieves;cria y engorde de porcinos.;cría y engorde de porcinos;10/03/2016;2016-10-19;7000000;NA;NA;0;0;;;;;
07-02-03-042-0000;J299828505;CCO-16-06-02-00035;bolívar;cedeño;ascensión farreras;casa de dios (no indica);siembra de arroz;frijol;caraotas y adquisición de herramientas agrícolas;leguminosas;09/03/2016;2016-09-21;10000000;40;140000;0;0;;;
07-10-02-001-0038;J299829498;CCO-16-06-06-00017;bolívar;sucre;aripao;sedumenadinña (no indica);granja integral de desarrollo agropecuario. ;sistema de producción apícola;16/03/2016;2016-07-08;7800000;NA;NA;0;0;;;;;
