codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
C-RUR-2015-03-0005;C405886757;COM-16-10-03-00005;guárico;francisco de miranda;guardatinajas;comuna socialista agroindustrial de prosumidores negra matea;producción de maíz blanco;cereales;10/03/2016;2016-05-25;120000000;1000;3500000;207;210800;;;;;
C-RUR-2015-05-0006;C406489425;COM-16-05-04-00003;barinas;ezequiel zamora;santa bárbara;socialista los sueños de chavez;"plan de siembra de la comuna socialista ""los sueños de chavez"" de santa barbara, municipio ezequiel zamora -edo- barinas.";cereales;07/03/2016;2016-05-18;16000000;80;280000;42;38160;;;;;
C-RUR-2015-08-0001;C406494364;COM-16-05-01-00002;barinas;arismendi;la unión;socialista agroturistica 28 de julio;siembra de 500 has. de maiz blanco en el sector de la comuna agroturistica 28 de julio ;cereales;06/03/2016;2016-05-25;45000000;500;1750000;32;19600;;;;;
C-RUR-2015-10-0002;C407127470;COM-16-05-08-00004;barinas;sosa;ciudad de nutrias;pedro felipe sosa;siembra de 200 has. de arroz en la comuna pedro felipe sosa;cereales;04/04/2016;2016-05-11;35000000;200;700000;60;74860;;;;;
C-RUR-2015-11-0001;C407191225;COM-16-05-01-00001;barinas;arismendi;la unión;socialista negra hipolita;siembra de maiz blanco para consumo; caraotas negras y frijol a traves de 600 hectareas ;cereales;25/02/2016;2016-05-25;50000000;600;2100000;97;0;;;;
C-RUR-2015-11-0004;C407388908;COM-16-24-01-00008;vargas;vargas;carayaca;agroturistica madre tierra;siembra de cebolla;hortalizas;29/03/2016;2016-12-21;94500000;270;945000;0;0;;;;;
C-RUR-2015-11-0005;C407387790;COM-16-05-01-00003;barinas;arismendi;la unión;ecosocialista juana la avanzadora;socioproductivo: leguminosas; cereales y tuberculos (frigol; topocho;yuca; maiz; platanos etc)del mun. arismendi pquia. la union;cereales;07/03/2016;2016-06-15;45000000;500;1750000;216;0
C-RUR-2015-11-0008;C407834800;COM-16-08-10-00001;cojedes;tinaco;general en jefe josé laurencio silva;el ultimo hombre a caballo;siembra de leguminosas en la comuna el último hombre a caballo del municipio tinaco; estado cojedes;leguminosas;13/10/2016;2016-12-23;58275000;166;5;582750;0;0;;;
C-URB-2015-07-0002;C406612413;COM-16-11-02-00007;lara;iribarren;unión;socialista el nuevo despertar de la guerrera ana soto;siembra de hortalizas y cebolla (3 hectáreas).  ;hortalizas;29/03/2016;2016-12-14;9048947;8;3;10500;0;0;;;;
CC-IND-2015-06-00007;C406629901;CCO-16-22-06-00009;amazonas;autónomo manapiare;medio ventuari;cc indigena san pedro de aramare;cosecha de 40 has deyuca amarga y siembra de 40 has de yuca;raíces; tubérculos y cucurbitáceas;08/03/2016;2016-04-22;10000000;80;280000;0;0;;;;
CC-RUR-2014-06-00002;J404430768;CCO-16-14-06-00014;monagas;libertador;capital libertador;marofo;poruducciòn de 1000 has. de maíz amarillo.;cereales;30/03/2016;2016-06-22;108000000;1000;3500000;340;5700;;;;;
CC-RUR-2014-06-00094;J404586857;CCO-16-17-05-00002;sucre;mariño;irapa;gran poder de dios;siembra y cosecha de 70has de maiz amarillo.;cereales;30/04/2016;2016-06-15;10500000;70;245000;50;1600;;;;;
CC-RUR-2014-07-00065;J404847944;CCO-16-17-09-00023;sucre;sucre;ayacucho;la montaãita primera entrada casa blanca y margarita;proyecto agricola ; siembra de pimenton y aji ;hortalizas;25/02/2016;2016-04-22;5600000;30;105000;0;0;;;;
CC-RUR-2014-08-00039;J404529594;CCO-16-10-07-00015;guárico;pedro zaraza;zaraza;san simón unico;siembra de 183 hectareas de maiz blanco.;cereales;13/05/2016;2016-06-15;23424000;183;640500;183;314180;;;;;
CC-RUR-2014-08-00045;J404529551;CCO-16-10-05-00038;guárico;josé félix ribas;san rafael de laya;centro plaza;siembra de 500 hectareas de maíz blanco en el sector centro plaza del municipio ribas estado guárico. ;cereales;26/04/2016;2016-06-22;60000000;500;1750000;200;42600;;;;;
CC-RUR-2014-08-00046;J404529535;CCO-16-10-05-00010;guárico;josé félix ribas;san rafael de laya;nião primero;cultivo de hortalizas; en el sector niño primero de san rafael de laya guarico;hortalizas;17/02/2016;2016-05-04;2900000;4;14000;0;0;;;;
CC-RUR-2014-09-00043;J404892320;CCO-16-14-06-00027;monagas;libertador;las alhuacas;el alto;siembra y produccion de yuca;raíces; tubérculos y cucurbitáceas;30/07/2016;2016-12-07;9537185;39;15;52500;0;0;;;
CC-RUR-2015-02-00020;J405418354;CCO-16-11-02-00021;lara;iribarren;unión;las maduristas;proyecto socioproductivo para la cria de pollos de engorde en el caserio algari parroquia union;cría y engorde de aves de corral;24/02/2016;2016-12-21;4000000;NA;NA;0;0;;;;;
CC-RUR-2015-05-00021;C406525960;CCO-16-17-02-00027;sucre;benítez;el pilar;rio el pilar;produccion de  raices y tuberculos en el sector rio el pilar; parroquia el pilar-benitez-sucre;raíces; tubérculos y cucurbitáceas;26/02/2016;2017-01-25;6358123;59;10;35000;0;0;;
CC-RUR-2015-07-00008;J406230847;CCO-16-03-07-00031;apure;biruaca;biruaca;alba bolivariana;plan de siembra de maiz blanco en la comunidad alba bolivariana ;cereales;30/03/2016;2016-05-04;5500000;60;210000;0;0;;;;;
CC-RUR-2015-09-00016;C407504444;CCO-16-07-14-00012;carabobo;libertador;urbana tocuyito;comunidad rural chagua;"siembra de cereal maíz blanco ""ups la trinidad""2016-consejo comunal comunidad rural chagua ";cereales;21/04/2016;2016-05-25;10500000;105;367500;50;38620;;;;;
CC-RUR-2016-02-00014;C407637690;CCO-16-17-02-00047;sucre;benítez;el pilar;las margaritas;siembra y producción de 10has de yuca en la población de el pilar; municipio benítez; estado sucre.;raíces; tubérculos y cucurbitáceas;21/07/2016;2016-12-21;6358123;59;10;35000;0;0;
CC-RUR-2016-05-00015;C407983156;CCO-16-19-13-00034;trujillo;san rafael de carvajal;carvajal;piedras blancas hugo chavez;cultivar y desrrollar una zona agroalimentaria en el sector;leguminosas;13/07/2016;2017-03-08;621711;95;2;43;8505;0;0;;;
CC-URB-2014-06-00042;C404345817;CCO-16-04-10-00022;aragua;josé angel lamas;santa cruz;capilla iii;patio productivo del consejo comunal la capilla iii;hortalizas;03/03/2016;2016-12-07;2307026;53;1;3500;0;0;;;;
CC-URB-2014-07-00073;J404469117;CCO-16-13-03-00021;miranda;sucre;petare;vencedores de julian blanco;plan de siembra ciclo corto ;hortalizas;29/09/2016;2017-02-15;57675663;25;25;87500;0;0;;;;
